match_id,map,round_num,tick,side,team_num,team_name,opp_name,is_pistol,is_ot,score_diff,round_win,start_cash,loss_bonus,consec_losses,equip_value,rifle_cnt,smg_cnt,shotgun_cnt,awp_cnt,helmets,kevlar,kits,flash_cnt,smoke_cnt,he_cnt,molotov_cnt,opp_rifle_cnt,opp_smg_cnt,opp_shotgun_cnt,opp_awp_cnt,opp_flash_cnt,opp_smoke_cnt,opp_he_cnt,opp_molotov_cnt,timeout_flag
2359876,de_mirage,0,1,CT,2,Eternal Fire,GamerLegion,1,0,0,0,16000,1400,0,23477,4,0,0,0,5,5,4,7,4,4,5,5,0,0,0,5,4,1,3,0
2359876,de_mirage,1,1,T,3,GamerLegion,Eternal Fire,0,0,0,1,16000,1400,0,18280,4,0,0,1,5,5,0,8,5,5,3,4,1,0,0,0,2,2,0,0
2359876,de_mirage,2,2,CT,2,Eternal Fire,GamerLegion,0,0,-1,1,16000,1900,1,15891,3,0,0,0,5,5,2,10,4,5,3,4,0,0,1,0,3,1,1,0
2359876,de_mirage,3,2,T,3,GamerLegion,Eternal Fire,0,0,0,0,16000,1400,0,27998,4,0,0,1,5,5,0,7,5,5,4,3,0,0,0,9,0,2,1,0
2359876,de_mirage,4,3,CT,2,Eternal Fire,GamerLegion,0,0,0,1,16000,1400,0,21661,3,0,0,0,5,5,3,8,4,4,4,4,1,0,0,0,4,0,4,0
2359876,de_mirage,5,3,T,3,GamerLegion,Eternal Fire,0,0,-1,0,11725,1900,1,10804,3,1,0,0,4,4,0,6,2,1,1,3,0,0,0,2,1,2,0,0
2359876,de_mirage,6,4,CT,2,Eternal Fire,GamerLegion,0,0,1,1,11894,1400,0,10120,3,0,0,1,4,4,2,6,2,2,1,3,1,0,1,0,2,4,0,0
2359876,de_mirage,7,4,T,3,GamerLegion,Eternal Fire,0,0,-2,1,16000,2400,2,26137,3,0,0,1,5,5,0,6,5,4,5,2,0,0,0,4,2,0,3,0
2359876,de_mirage,8,5,CT,2,Eternal Fire,GamerLegion,0,0,1,1,16000,1400,0,24247,4,0,0,1,5,5,4,10,5,4,5,2,1,0,1,1,2,3,3,0
2359876,de_mirage,9,5,T,3,GamerLegion,Eternal Fire,0,0,-2,1,16000,1400,0,19064,3,0,0,1,5,5,0,6,4,4,4,3,0,0,1,5,2,3,4,0
2359876,de_mirage,10,6,CT,2,Eternal Fire,GamerLegion,0,0,1,1,16000,1400,0,18314,4,0,0,1,5,5,2,6,4,4,3,4,0,0,0,9,4,4,2,0
2359876,de_mirage,11,6,T,3,GamerLegion,Eternal Fire,0,0,-2,1,16000,1400,0,25308,3,0,0,1,5,5,0,6,4,4,3,3,0,0,0,7,1,1,1,0
2359876,de_mirage,12,7,CT,2,Eternal Fire,GamerLegion,1,0,1,1,8944,1400,0,2117,1,0,0,0,2,2,0,0,1,1,0,3,1,0,0,6,4,1,3,0
2359876,de_mirage,13,7,T,3,GamerLegion,Eternal Fire,0,0,-2,0,16000,1400,0,14018,2,0,0,1,4,4,0,6,3,2,2,1,0,0,0,0,2,3,2,0
2359876,de_mirage,14,8,CT,2,Eternal Fire,GamerLegion,0,0,2,0,16000,1400,0,27187,3,0,0,0,5,5,4,7,4,4,5,2,0,0,0,4,4,2,4,0
2359876,de_mirage,15,8,T,3,GamerLegion,Eternal Fire,0,0,-2,1,16000,1900,1,26110,3,0,0,1,5,5,0,6,4,4,5,4,0,0,0,4,3,3,4,0
2359876,de_mirage,16,9,CT,2,Eternal Fire,GamerLegion,0,0,1,0,16000,1900,1,24985,3,0,0,1,5,5,3,8,4,5,3,4,0,0,0,1,3,1,2,0
2359876,de_mirage,17,9,T,3,GamerLegion,Eternal Fire,0,0,-1,1,16000,1400,0,20139,3,0,0,0,5,5,0,10,4,5,5,4,0,0,1,5,0,3,3,0
2359876,de_mirage,18,10,CT,2,Eternal Fire,GamerLegion,0,0,0,0,16000,2400,2,22556,3,0,0,1,5,5,3,9,4,3,4,4,0,0,1,6,0,1,0,0
2359876,de_mirage,19,10,T,3,GamerLegion,Eternal Fire,0,0,0,0,16000,1400,0,18731,4,0,0,1,5,5,0,10,5,4,3,4,1,0,1,9,2,4,1,0
2359876,de_mirage,20,11,CT,2,Eternal Fire,GamerLegion,0,0,0,1,16000,2900,3,23599,4,0,0,2,5,5,2,8,5,3,5,0,1,0,0,7,1,0,1,0
2359876,de_mirage,21,11,T,3,GamerLegion,Eternal Fire,0,0,-1,1,7050,1900,1,4118,1,0,0,0,1,2,0,3,0,1,0,5,0,0,1,0,3,3,1,0
2359876,de_mirage,22,12,CT,2,Eternal Fire,GamerLegion,0,0,0,0,14575,1400,0,9367,3,0,0,1,3,3,0,6,2,1,2,5,0,0,0,0,1,1,2,0
2359876,de_mirage,23,12,T,3,GamerLegion,Eternal Fire,0,0,0,1,16000,1400,0,23321,4,0,0,0,5,5,0,6,5,5,4,2,0,0,0,4,2,2,1,0
2359876,de_mirage,24,13,CT,2,Eternal Fire,GamerLegion,1,0,-1,1,8612,1900,1,3543,1,1,0,0,2,2,0,0,1,1,0,1,0,0,0,7,0,1,0,0
2359876,de_mirage,25,13,T,3,GamerLegion,Eternal Fire,0,0,0,1,12621,1400,0,6377,2,0,0,0,4,4,0,4,3,1,1,1,2,0,0,3,1,2,2,0
2359876,de_mirage,26,14,CT,2,Eternal Fire,GamerLegion,0,0,-1,0,16000,1400,0,26398,3,0,0,1,5,5,3,10,4,4,4,3,1,0,0,3,0,4,2,0
2359876,de_mirage,27,14,T,3,GamerLegion,Eternal Fire,0,0,1,0,16000,1400,0,26908,3,0,0,0,5,5,0,10,5,5,5,2,0,0,1,8,4,3,4,0
2359876,de_mirage,28,15,CT,2,Eternal Fire,GamerLegion,0,0,-1,0,16000,1900,1,23757,4,0,0,1,5,5,2,6,4,5,3,5,0,0,0,9,0,0,3,0
2359876,de_mirage,29,15,T,3,GamerLegion,Eternal Fire,0,0,1,1,16000,1900,1,22993,4,0,0,0,5,5,0,9,5,5,5,3,0,0,0,6,3,1,3,0
2359876,de_mirage,30,16,CT,2,Eternal Fire,GamerLegion,0,0,-2,1,16000,2400,2,11887,2,1,0,1,3,4,4,5,3,3,2,2,1,0,0,7,2,1,4,0
2359876,de_mirage,31,16,T,3,GamerLegion,Eternal Fire,0,0,1,0,9957,1400,0,5677,3,0,0,0,4,3,0,6,2,2,2,2,1,0,1,9,4,3,1,0
2359876,de_mirage,32,17,CT,2,Eternal Fire,GamerLegion,0,0,-1,1,14874,1400,0,10780,2,1,0,0,3,3,2,4,3,3,1,4,0,0,1,4,2,1,0,0
2359876,de_mirage,33,17,T,3,GamerLegion,Eternal Fire,0,0,0,1,16000,1900,1,24686,4,0,0,1,5,5,0,6,4,3,5,1,0,0,0,8,4,4,0,0
2359876,de_mirage,34,18,CT,2,Eternal Fire,GamerLegion,0,0,-1,1,16000,1400,0,22375,3,0,0,0,5,5,3,8,4,5,5,3,0,0,0,3,0,3,2,0
2359876,de_mirage,35,18,T,3,GamerLegion,Eternal Fire,0,0,0,1,13197,1400,0,8661,3,0,0,0,4,3,0,3,3,2,2,4,0,0,0,4,0,0,1,0
2359876,de_mirage,36,19,CT,2,Eternal Fire,GamerLegion,0,0,-1,1,16000,1400,0,20750,3,0,0,1,5,5,2,10,5,5,4,2,0,0,0,1,4,4,1,0
